STATE,if,return,(,ID,INT,FLOAT,STR,;,),{,},while,function,else,else if,TYPE,=,==,!=,<,>,!,+,-,*,/,&&,||,true,false,$,INVALID_TOKEN,ARGUMENTS,BODY,WHILE_LOOP,STATEMENTS,IF,WHILE,VARIABLE_DEFINITION,FUNCTION_CALL,ASSIGNMENT,RETURN_STATEMENT,FUNCTION_DEFINITION,OTHER_ARGUEMENTS,ELSE,ELSE_PART,LE,AE,LE1,LE2,LE3,LE4,LE5,T,F
S100,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,R82,,,,,,,,,,,,,,,,,,,,,,,,,
S101,,,,,S110,S102,S108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,106,,,,,,,
S102,,,,,,,,S103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S103,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,,,,,,,,,,,,,,,,,,,,,,,,,
S104,,,,,,,,S105,,,,,,,,,,,,S29,S30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S105,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,,,,,,,,,,,,,,,,,,,,,,,,,
S106,,,,,,,,S107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S107,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,,,,,,,,,,,,,,,,,,,,,,,,,
S108,,,,,,,,S109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S109,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,,,,,,,,,,,,,,,,,,,,,,,,,
S110,,,,,,,,S111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
